"codex","place","gender","hill_size_x","team","season","hill_size_y","k.point","meter.value","gate.factor","wind.factor","type","date","id","training","country"
3765,"Klingenthal","Men",140,0,2015,140,125,1.8,7.56,10.8,2,"2014-10-04","2015JP3765RTRIA",1,"GER"
3765,"Klingenthal","Men",140,0,2015,140,125,1.8,7.56,10.8,2,"2014-10-04","2015JP3765RL",0,"GER"
3764,"Klingenthal","Men",140,0,2015,140,125,1.8,7.56,10.8,2,"2014-10-03","2015JP3764RLT",1,"GER"
3764,"Klingenthal","Men",140,0,2015,140,125,1.8,7.56,10.8,2,"2014-10-03","2015JP3764RLQ",0,"GER"
3755,"Hinzenbach","Men",94,0,2015,94,85,2,4.8,5.8,2,"2014-09-28","2015JP3755RTRIA",1,"AUT"
3755,"Hinzenbach","Men",94,0,2015,94,85,2,4.8,5.8,2,"2014-09-28","2015JP3755RL",0,"AUT"
3754,"Hinzenbach","Men",94,0,2015,94,85,2,4.8,5.8,2,"2014-09-27","2015JP3754RLT",1,"AUT"
3754,"Hinzenbach","Men",94,0,2015,94,85,2,4.8,5.8,2,"2014-09-27","2015JP3754RLQ",0,"AUT"
3749,"Almaty","Women",106,0,2015,106,95,2,6.36,7,2,"2014-09-21","2015JP3749RTRIA",1,"KAZ"
3749,"Almaty","Women",106,0,2015,106,95,2,6.36,7,2,"2014-09-21","2015JP3749RL",0,"KAZ"
3748,"Almaty","Women",106,0,2015,106,95,2,6.36,7,2,"2014-09-20","2015JP3748RTRIA",1,"KAZ"
3748,"Almaty","Women",106,0,2015,106,95,2,6.36,7,2,"2014-09-20","2015JP3748RLT",1,"KAZ"
3748,"Almaty","Women",106,0,2015,106,95,2,6.36,7,2,"2014-09-20","2015JP3748RL",0,"KAZ"
3747,"Almaty","Men",140,0,2015,140,125,1.8,7.56,9.36,2,"2014-09-21","2015JP3747RTRIA",1,"KAZ"
3747,"Almaty","Men",140,0,2015,140,125,1.8,7.56,9.36,2,"2014-09-21","2015JP3747RL",0,"KAZ"
3746,"Almaty","Men",140,0,2015,140,125,1.8,7.56,9.36,2,"2014-09-20","2015JP3746RTRIA",1,"KAZ"
3746,"Almaty","Men",140,0,2015,140,125,1.8,7.56,9.36,2,"2014-09-20","2015JP3746RL",0,"KAZ"
3745,"Almaty","Men",140,0,2015,140,125,1.8,7.56,9.36,2,"2014-09-19","2015JP3745RLT",1,"KAZ"
3728,"Hakuba","Men",131,0,2015,131,120,1.8,8.82,10.8,2,"2014-08-24","2015JP3728RTRIA",1,"JPN"
3728,"Hakuba","Men",131,0,2015,131,120,1.8,8.82,10.8,2,"2014-08-24","2015JP3728RL",0,"JPN"
3727,"Hakuba","Men",131,0,2015,131,120,1.8,8.82,10.8,2,"2014-08-23","2015JP3727RTRIA",1,"JPN"
3727,"Hakuba","Men",131,0,2015,131,120,1.8,8.82,10.8,2,"2014-08-23","2015JP3727RL",0,"JPN"
3723,"Courchevel","Men",132,0,2015,132,120,1.8,8.82,12.6,2,"2014-08-15","2015JP3723RTRIA",1,"FRA"
3723,"Courchevel","Men",132,0,2015,132,120,1.8,8.82,12.6,2,"2014-08-15","2015JP3723RLT",1,"FRA"
3723,"Courchevel","Men",132,0,2015,132,120,1.8,8.82,12.6,2,"2014-08-15","2015JP3723RLQ",0,"FRA"
3723,"Courchevel","Men",132,0,2015,132,120,1.8,8.82,12.6,2,"2014-08-15","2015JP3723RL",0,"FRA"
3712,"Einsiedeln","Men",117,0,2015,117,105,1.8,6.32,7.29,2,"2014-08-09","2015JP3712RTRIA",1,"SUI"
3712,"Einsiedeln","Men",117,0,2015,117,105,1.8,6.32,7.29,2,"2014-08-09","2015JP3712RL",0,"SUI"
3711,"Einsiedeln","Men",117,0,2015,117,105,1.8,6.32,7.29,2,"2014-08-08","2015JP3711RLT",1,"SUI"
3711,"Einsiedeln","Men",117,0,2015,117,105,1.8,6.32,7.29,2,"2014-08-08","2015JP3711RLQ",0,"SUI"
3708,"Wisla","Men",134,0,2015,134,120,1.8,7.24,9.9,2,"2014-07-26","2015JP3708RL",0,"POL"
3707,"Wisla","Men",134,1,2015,134,120,1.8,7.24,9.9,2,"2014-07-25","2015JP3707RTRIA",1,"POL"
3707,"Wisla","Men",134,1,2015,134,120,1.8,7.24,9.9,2,"2014-07-25","2015JP3707RL",0,"POL"
3706,"Wisla","Men",134,0,2015,134,120,1.8,7.24,9.9,2,"2014-07-24","2015JP3706RLT",1,"POL"
3706,"Wisla","Men",134,0,2015,134,120,1.8,7.24,9.9,2,"2014-07-24","2015JP3706RLQ",0,"POL"
3787,"Hinzenbach","Men",94,0,2014,94,85,2,4.8,5.8,2,"2013-09-28","2014JP3787RLT",1,"AUT"
3787,"Hinzenbach","Men",94,0,2014,94,85,2,4.8,5.8,2,"2013-09-28","2014JP3787RLQ",0,"AUT"
3784,"Klingenthal","Men",140,0,2014,140,125,1.8,7.56,10.8,2,"2013-10-02","2014JP3784RLT",1,"GER"
