name,codex
maerkl kilian,7112.0
raimund philipp,7349.0
roth luca,7155.0
baer moritz,7211.0
muminov sabirzhan,5788.0
hofer thomas,6085.0
aigro artti,6918.0
maksimochkin mikhail,6194.0
soukup matthew,6801.0
hoerl jan,7450.0
insam alex,6758.0
schuler andreas,6009.0
zografski vladimir,5168.0
nousiainen eetu,7354.0
nomme martti,6258.0
peter dominik,7285.0
kytosaho niko,6912.0
hamann martin,6551.0
prevc domen,7091.0
tkachenko sergey,7343.0
ito kenshiro,4963.0
markeng thomas aasen,7588.0
takeuchi taku,4367.0
trofimov roman sergeevich,5760.0
hula stefan,4322.0
koudelka roman,4801.0
boyd-clowes mackenzie,4678.0
aigner clemens,5518.0
stursa vojtech,6414.0
kozisek cestmir,5063.0
paschke pius,2171.0
buskum andreas granerud,6532.0
damjan jernej,4025.0
lanisek anze,6437.0
aalto antti,6996.0
schmid constantin,7196.0
leyhe stephan,5262.0
muranka klemens,5326.0
nazarov mikhail,6036.0
ammann simon,2067.0
eisenbichler markus,5253.0
granerud halvor egner,6880.0
wolny jakub,6165.0
freitag richard,5564.0
pedersen robin,7067.0
aschenwald philipp,6084.0
lindvik marius,6734.0
polasek viktor,6724.0
kot maciej,5298.0
bartol tilen,6633.0
prevc peter,5658.0
johansson robert,5589.0
stoch kamil,4321.0
schlierenzauer gregor,5040.0
peier killian,6235.0
zyla piotr,4325.0
kobayashi junshiro,5451.0
klimov evgeniy,6645.0
geiger karl,5567.0
kobayashi ryoyu,6288.0
sato keiichi,7006.0
nakamura naoki,6392.0
zajc timi,7147.0
kubacki dawid,5142.0
sato yukiya,6151.0
altenburger florian,5515.0
tollinger elias,6327.0
alexander nicholas,5219.0
glasder michael,2805.0
kornilov denis,4880.0
zhaparov radik,3787.0
tochimoto shohei,2530.0
boyarintsev vladislav,6679.0
larinto ville,5396.0
zhaparov marat,4599.0
alamommo andreas,6910.0
semenic anze,5626.0
stekala andrzej,6698.0
schiffner markus,5585.0
hazetdinov ilmir,5466.0
neumayer michael,2927.0
lamy chappuis ronan,5723.0
matura jan,2947.0
kranjec robert,2918.0
sakuyama kento,5521.0
