"fis_code","humid","snow","air","weather_type","round_type","max_wind","avg_wind","min_wind","gate","counted_jumpers","all_jumpers","all_countries"
"2015JP3765RTRIA",70,NA,11,"partly cloudy ","trial round ",2.06,0.82,-0.13,18,50,50,14
"2015JP3765RL",70,NA,11.2,"sunny ","1st round ",0.9,0.09,-0.52,20,49,50,14
"2015JP3765RL",70,NA,11.4,"sunny ","final round ",0.74,0.04,-0.55,24,30,30,12
"2015JP3764RLT",54,NA,15,"partly cloudy ","1st round ",0.37,-0.16,-0.54,22,69,69,16
"2015JP3764RLT",56,NA,14.5,"partly cloudy ","2nd round ",0.25,-0.37,-0.91,24,69,69,16
"2015JP3764RLQ",66,NA,10.7,"partly cloudy ","qualification ",-0.11,-0.4,-0.7,25,69,69,16
"2015JP3755RTRIA",57,NA,22,"sunny ","trial round ",1.89,0.8,-0.34,6,50,50,13
"2015JP3755RL",58,NA,23,"sunny ","1st round ",1.43,0.79,-0.22,5,50,50,13
"2015JP3755RL",57,NA,22.7,"sunny ","final round ",1.24,0.39,-0.31,6,31,31,11
"2015JP3754RLT",60,NA,22,"cloudy ","1st round ",1.03,0.29,-0.1,8,64,64,14
"2015JP3754RLT",64,NA,20.9,"cloudy ","2nd round ",0.59,0.22,-0.16,9,64,64,14
"2015JP3754RLQ",73,NA,17.9,"partly cloudy ","qualification ",-0.08,-0.38,-0.71,9,64,65,14
"2015JP3749RTRIA",30,NA,16,"partly cloudy ","trial round ",1.46,0.45,-0.82,13,29,29,10
"2015JP3749RL",32,NA,17.9,"cloudy ","1st round ",2.64,1.44,0.47,11,27,29,10
"2015JP3749RL",31,NA,18.4,"cloudy ","final round ",2.28,1.01,0.27,12,27,29,10
"2015JP3748RTRIA",32,NA,20.1,"sunny ","trial round ",2.51,2,-0.13,12,28,28,10
"2015JP3748RLT",50,NA,12,"cloudy ","1st round ",0.57,0.13,-0.79,14,29,29,10
"2015JP3748RLT",51,NA,12.3,"cloudy ","2nd round ",1.04,0.47,-0.62,14,26,26,9
"2015JP3748RLT",515,NA,12.5,"cloudy ","3rd round ",0.96,0.52,0.02,13,26,26,10
"2015JP3748RL",35,NA,18.8,"sunny ","1st round ",2.01,2.4,0.23,11,29,29,10
"2015JP3748RL",35,NA,18.4,"sunny ","final round ",2.45,1.41,0.63,11,29,29,10
"2015JP3747RTRIA",32,NA,19,"partly cloudy ","trial round ",0.56,0.18,-0.49,17,33,33,10
"2015JP3747RL",34,NA,17.7,"partly cloudy ","1st round ",0.06,-0.38,-0.62,18,33,34,10
"2015JP3747RL",40,NA,14.9,"partly cloudy ","final round ",-1.26,-1.46,-1.63,23,30,30,10
"2015JP3746RTRIA",38,NA,14.7,"sunny ","trial round ",2.2,1.47,0.49,9,36,36,10
"2015JP3746RL",39,NA,12.7,"clear ","1st round ",1.41,0.37,-0.29,11,35,36,10
"2015JP3746RL",45,NA,11.5,"clear ","final round ",-0.99,-1.5,-2.05,20,30,30,10
"2015JP3745RLT",38,NA,17,"cloudy ","1st round ",1.38,0.63,-0.19,14,36,36,10
"2015JP3745RLT",39,NA,16.7,"cloudy ","2nd round ",1.04,0.48,0.11,13,36,36,10
"2015JP3745RLT",39,NA,16.2,"cloudy ","3rd round ",0.71,0.23,-0.42,14,34,34,10
"2015JP3728RTRIA",76,NA,22.6,"cloudy ","trial round ",0.94,0.52,-0.23,11,40,40,12
"2015JP3728RL",95,NA,21.4,"cloudy/rain ","1st round ",0.42,0,-0.43,11,42,42,12
"2015JP3728RL",99,NA,20.5,"rain ","final round ",1.3,0.06,-0.39,10,30,30,10
"2015JP3727RTRIA",96,NA,22.4,"cloudy ","trial round ",1.19,0.36,-0.17,11,47,47,12
"2015JP3727RL",91,NA,21.5,"cloudy ","1st round ",0.73,-0.01,-0.55,11,48,48,12
"2015JP3727RL",99,NA,20.9,"cloudy ","final round ",0.2,-0.18,-0.55,12,30,30,10
"2015JP3723RTRIA",47,NA,15.4,"overcast ","trial round ",1.1,0.36,-0.62,16,40,40,13
"2015JP3723RLT",79,NA,12.9,"rain ","1st round ",1.55,1.12,0.54,16,43,43,13
"2015JP3723RLT",71,NA,14.5,"lightly rain ","2nd round ",1.86,0.98,0.17,16,56,56,14
"2015JP3723RLQ",51,NA,16,"overcast ","qualification ",1.62,0.88,0.22,16,62,62,16
"2015JP3723RL",51,NA,16,"overcast ","qualification ",1.62,0.88,0.22,16,62,62,16
"2015JP3723RL",66,NA,13.7,"cloudy ","1st round ",0.96,0.34,-0.62,17,48,48,13
"2015JP3723RL",85,NA,11,"rain ","final round ",0.07,-0.21,-0.47,19,24,24,9
"2015JP3712RTRIA",61,NA,22.9,"partly cloudy ","trial round ",1.45,0.21,-0.49,12,48,48,12
"2015JP3712RL",75,NA,21.1,"cloudy ","qualification ",0.4,-0.36,-0.87,14,66,66,14
"2015JP3712RL",69,NA,21.2,"partly cloudy ","1st round ",0.33,-0.28,-0.68,14,48,48,12
"2015JP3712RL",72,NA,20.5,"partly cloudy ","final round ",-0.03,-0.3,-0.59,14,23,24,8
"2015JP3711RLT",54,NA,24.5,"partly cloudy ","1st round ",1.45,0.18,-0.64,14,66,66,14
"2015JP3711RLT",53,NA,24.2,"partly cloudy ","2nd round ",0.37,-0.18,-0.65,15,66,66,14
