"","codex","place","month","day","year","gender","hill_size.x","team","season","X","hill_size.y","k.point","meter.value","gate.factor","wind.factor"
"1",3069,"Innsbruck (AUT)","January",4,2012,"Men",130,0,2012,0,130,120,1.8,7.02,8.46
"2",3071,"Bischofshofen (AUT)","January",6,2012,"Men",140,0,2012,1,140,125,1.8,4.86,9.36
"3",3074,"Tauplitz/Bad Mitterndorf (AUT)","January",15,2012,"Men",200,0,2012,2,200,185,1.2,7.2,10.8
"4",3076,"Tauplitz/Bad Mitterndorf (AUT)","January",15,2012,"Men",200,0,2012,3,200,185,1.2,7.2,10.8
"5",3080,"Hinzenbach (AUT)","February",4,2012,"Women",94,0,2012,4,94,85,2,4.8,5.8
"6",3081,"Hinzenbach (AUT)","February",5,2012,"Women",94,0,2012,5,94,85,2,4.8,5.8
"7",3089,"Harrachov (CZE)","December",9,2011,"Men",142,0,2012,6,142,125,1.8,5.04,9.54
"8",3090,"Harrachov (CZE)","December",10,2011,"Men",142,1,2012,7,142,125,1.8,5.04,9.54
"9",3091,"Harrachov (CZE)","December",11,2011,"Men",142,0,2012,8,142,125,1.8,5.04,9.54
"10",3100,"Ruka (FIN)","November",27,2011,"Men",142,1,2012,9,142,120,1.8,9.54,11.7
"11",3102,"Ruka (FIN)","November",27,2011,"Men",142,0,2012,10,142,120,1.8,9.54,11.7
"12",3104,"Lahti (FIN)","March",3,2012,"Men",97,1,2012,11,97,90,2,6.4,6.8
"13",3105,"Lahti (FIN)","March",4,2012,"Men",97,0,2012,12,97,90,2,6.4,6.8
"14",3111,"Oberstdorf (GER)","December",30,2011,"Men",137,0,2012,13,137,120,1.8,7.4,9.09
"15",3114,"Hinterzarten (GER)","January",7,2012,"Women",108,0,2012,14,108,95,2,6.48,7.2
"16",3115,"Hinterzarten (GER)","January",8,2012,"Women",108,0,2012,15,108,95,2,6.48,7.2
"17",3124,"Willingen (GER)","February",12,2012,"Men",145,0,2012,16,145,130,1.8,7.83,11.7
"18",3128,"Oberstdorf (GER)","February",18,2012,"Men",213,0,2012,17,213,185,1.2,7.67,12
"19",3129,"Oberstdorf (GER)","February",19,2012,"Men",213,1,2012,18,213,185,1.2,7.67,12
"20",3132,"Predazzo (ITA)","January",14,2012,"Women",106,0,2012,19,106,95,2,5,7
"21",3134,"Predazzo (ITA)","January",15,2012,"Women",106,0,2012,20,106,95,2,5,7
"22",3137,"Predazzo (ITA)","February",4,2012,"Men",134,0,2012,21,134,120,1.8,5.58,8.82
"23",3138,"Predazzo (ITA)","February",5,2012,"Men",134,0,2012,22,134,120,1.8,5.58,10.8
"24",3145,"Sapporo (JPN)","January",28,2012,"Men",134,0,2012,23,134,120,1.8,9,11.7
"25",3146,"Sapporo (JPN)","January",29,2012,"Men",134,0,2012,24,134,120,1.8,9,11.7
"26",3151,"Zao (JPN)","March",3,2012,"Women",100,0,2012,25,100,90,2,6,6.4
"27",3152,"Zao (JPN)","March",4,2012,"Women",100,0,2012,26,100,90,2,6,6.4
"28",3154,"Lillehammer (NOR)","December",3,2011,"Women",100,0,2012,27,100,90,2,6,6.4
"29",3155,"Lillehammer (NOR)","December",3,2011,"Men",100,0,2012,28,100,90,2,6,6.4
"30",3156,"Lillehammer (NOR)","December",4,2011,"Men",138,0,2012,29,138,123,1.8,7.45,9.18
"31",3168,"Trondheim (NOR)","March",8,2012,"Men",131,0,2012,30,140,123,1.8,7.56,9.36
"32",3169,"Oslo (NOR)","March",9,2012,"Women",106,0,2012,31,106,95,2,6.36,7
"33",3171,"Oslo (NOR)","March",11,2012,"Men",134,0,2012,32,134,120,1.8,7.24,10.8
"34",3173,"Zakopane (POL)","January",20,2012,"Men",134,0,2012,33,134,120,1.8,7.24,8.82
"35",3174,"Zakopane (POL)","January",21,2012,"Men",134,0,2012,34,134,120,1.8,7.24,8.82
"36",3189,"Ljubno (SLO)","February",11,2012,"Women",95,0,2012,35,95,85,2,5.7,5.9
"37",3191,"Ljubno (SLO)","February",12,2012,"Women",95,0,2012,36,95,85,2,5.7,5.9
"38",3197,"Planica (SLO)","March",16,2012,"Men",215,0,2012,37,215,185,1.2,7.74,12
"39",3198,"Planica (SLO)","March",17,2012,"Men",215,1,2012,38,215,185,1.2,7.74,12
"40",3199,"Planica (SLO)","March",18,2012,"Men",215,0,2012,39,215,185,1.2,7.74,12
"41",3201,"Engelberg (SUI)","December",17,2011,"Men",137,0,2012,40,137,125,1.8,7.4,9.09
"42",3202,"Engelberg (SUI)","December",18,2011,"Men",137,0,2012,41,137,125,1.8,7.4,9.09
"43",3222,"Zao (JPN)","March",3,2012,"Women",100,0,2012,42,100,90,2,6,6.4
"44",3766,"Ramsau (AUT)","December",14,2012,"Women",98,0,2013,43,98,90,2,5.88,6.2
"45",3770,"Innsbruck (AUT)","January",4,2013,"Men",130,0,2013,44,130,120,1.8,7.02,8.46
"46",3772,"Bischofshofen (AUT)","January",6,2013,"Men",140,0,2013,45,140,125,1.8,4.86,9.36
"47",3782,"Harrachov (CZE)","February",3,2013,"Men",205,0,2013,46,205,185,1.2,7.38,10.8
"48",3783,"Harrachov (CZE)","February",3,2013,"Men",205,0,2013,47,205,185,1.2,7.38,10.8
"49",3792,"Lahti (FIN)","March",9,2013,"Men",130,1,2013,48,130,116,1.8,7.56,8.46
"50",3793,"Lahti (FIN)","March",10,2013,"Men",130,0,2013,49,130,116,1.8,7.56,8.46
"51",3795,"Kuopio (FIN)","March",12,2013,"Men",127,0,2013,50,127,120,1.8,6.86,8.19
"52",3807,"Oberstdorf (GER)","December",30,2012,"Men",137,0,2013,51,137,120,1.8,7.4,9.09
"53",3811,"Schonach (GER)","January",5,2013,"Women",106,0,2013,52,106,95,2,6.36,7
"54",3812,"Schonach (GER)","January",6,2013,"Women",106,0,2013,53,106,95,2,6.36,7
"55",3814,"Hinterzarten (GER)","January",12,2013,"Women",108,0,2013,54,108,95,2,6.48,8.4
"56",3815,"Hinterzarten (GER)","January",13,2013,"Women",108,0,2013,55,108,95,2,6.48,8.4
"57",3821,"Willingen (GER)","February",9,2013,"Men",140,1,2013,56,145,130,1.8,7.83,11.7
"58",3824,"Klingenthal (GER)","February",13,2013,"Men",140,0,2013,57,140,125,1.8,7.56,10.8
"59",3826,"Oberstdorf (GER)","February",16,2013,"Men",213,0,2013,58,213,185,1.2,7.67,12
"60",3827,"Oberstdorf (GER)","February",17,2013,"Men",213,1,2013,59,213,185,1.2,7.67,12
"61",3836,"Sapporo (JPN)","January",19,2013,"Men",134,0,2013,60,134,120,1.8,9,11.7
"62",3837,"Sapporo (JPN)","January",20,2013,"Men",134,0,2013,61,134,120,1.8,9,11.7
"63",3839,"Sapporo (JPN)","February",2,2013,"Women",100,0,2013,62,100,90,2,6,6.4
"64",3840,"Sapporo (JPN)","February",3,2013,"Women",100,0,2013,63,100,90,2,6,6.4
"65",3842,"Zao (JPN)","February",9,2013,"Women",100,0,2013,64,100,90,2,6,6.4
"66",3843,"Zao (JPN)","February",10,2013,"Women",100,0,2013,65,100,90,2,6,6.4
"67",3850,"Lillehammer (NOR)","November",23,2012,"Mix",100,1,2013,66,100,90,2,6,6.4
"68",3851,"Lillehammer (NOR)","November",24,2012,"Women",100,0,2013,67,100,90,2,6,6.4
"69",3852,"Lillehammer (NOR)","November",24,2012,"Men",100,0,2013,68,100,90,2,6,6.4
"70",3853,"Lillehammer (NOR)","November",25,2012,"Men",138,0,2013,69,138,123,1.8,7.45,9.18
"71",3859,"Vikersund (NOR)","January",26,2013,"Men",225,0,2013,70,225,195,1.2,8.1,14.4
"72",3860,"Vikersund (NOR)","January",27,2013,"Men",225,0,2013,71,225,195,1.2,8.1,14.4
"73",3865,"Trondheim (NOR)","March",15,2013,"Women",105,0,2013,72,105,90,2,6.3,6.9
"74",3866,"Trondheim (NOR)","March",15,2013,"Men",140,0,2013,73,140,124,1.8,7.56,9.36
"75",3868,"Oslo (NOR)","March",17,2013,"Women",134,0,2013,74,134,120,1.8,7.24,10.8
"76",3869,"Oslo (NOR)","March",17,2013,"Men",134,0,2013,75,134,120,1.8,7.24,10.8
"77",3873,"Wisla (POL)","January",9,2013,"Men",134,0,2013,76,134,120,1.8,7.24,8.82
"78",3875,"Zakopane (POL)","January",11,2013,"Men",134,1,2013,77,134,120,1.8,7.24,10.8
"79",3876,"Zakopane (POL)","January",12,2013,"Men",134,0,2013,78,134,120,1.8,7.24,10.8
"80",3891,"Sochi (RUS)","December",8,2012,"Women",106,0,2013,79,106,95,2,6.36,7
"81",3892,"Sochi (RUS)","December",8,2012,"Men",106,0,2013,80,106,95,2,6.36,7
"82",3893,"Sochi (RUS)","December",9,2012,"Women",106,0,2013,81,106,95,2,6.36,7
"83",3894,"Sochi (RUS)","December",9,2012,"Men",106,0,2013,82,106,95,2,6.36,7
"84",3900,"Ljubno (SLO)","February",16,2013,"Women",95,0,2013,83,95,85,2,5.7,5.9
