"","name","wind","wind_comp","dist","speed","dist_points","note_1","note_2","note_3","note_4","note_5","note_points","points","loc","gate","gate_points","year","codex"
"1","kofler andreas",0.56,-4.7,127.5,88.1,73.5,18.5,18,19,18.5,18.5,55.5,128.5,4,9,4.2,2012,3069
"2","kofler andreas",0.55,-4.7,131.5,88,80.7,18.5,17,18,17.5,17,52.5,124.3,1,10,-4.2,2012,3069
"3","schlierenzauer gregor",0.68,-5.8,130.5,87.9,78.9,18,19,19,19,18.5,56.5,133.8,2,9,4.2,2012,3069
"4","schlierenzauer gregor",0.28,-2.4,123,87.5,65.4,18.5,18,18.5,18.5,17.5,55,113.8,8,10,-4.2,2012,3069
"5","takeuchi taku",0.71,-6,131.5,88.5,80.7,18.5,19,19,19,18.5,56.5,131.2,3,10,0,2012,3069
"6","takeuchi taku",0.36,-3,124,87.8,67.2,18.5,18,18.5,18.5,18.5,55.5,115.5,5,10,-4.2,2012,3069
"7","bardal anders",0.66,-5.6,128,88.6,74.4,18.5,18.5,18.5,18.5,18.5,55.5,128.5,4,9,4.2,2012,3069
"8","bardal anders",0.63,-5.3,125.5,88.1,69.9,19,18.5,18.5,18.5,18.5,55.5,115.9,4,10,-4.2,2012,3069
"9","koudelka roman",-0.06,0.5,123.5,88.1,66.3,18,18.5,18,18.5,18,54.5,125.5,8,9,4.2,2012,3069
"10","koudelka roman",0.1,-0.8,122.5,87.9,64.5,18.5,18,18,18.5,18,54.5,114,7,10,-4.2,2012,3069
"11","morgenstern thomas",-0.35,3,120.5,88.1,60.9,18,17.5,18,18,18,54,122.1,12,9,4.2,2012,3069
"12","morgenstern thomas",0.2,-1.7,123,87.8,65.4,19,18,18.5,18.5,18.5,55.5,115,6,10,-4.2,2012,3069
"13","mechler maximilian",-0.02,0.2,119,88.3,58.2,17.5,17.5,18,17.5,18,53,115.6,15,9,4.2,2012,3069
"14","mechler maximilian",0.37,-3.1,126,88.1,70.8,18.5,18,19,18.5,19,56,119.5,2,10,-4.2,2012,3069
"15","neumayer michael",0.64,-5.4,132,88.6,81.6,15.5,16.5,16.5,15.5,16,48,124.2,10,10,0,2012,3069
"16","neumayer michael",0.1,-0.8,121.5,88.4,62.7,17,17.5,17.5,17.5,17.5,52.5,110.2,9,10,-4.2,2012,3069
"17","stoch kamil",0.33,-2.8,132.5,87.6,82.5,18,18.5,19,18.5,19,56,139.9,1,9,4.2,2012,3069
"18","stoch kamil",-0.87,7.4,108,87.5,38.4,17,17,17,16.5,16.5,50.5,92.1,26,10,-4.2,2012,3069
"19","hlava lukas",0.15,-1.3,126,88.8,70.8,18.5,18.5,19,19,18,56,125.5,8,10,0,2012,3069
"20","hlava lukas",0.26,-2.2,118,88.1,56.4,18,18,18,18,17.5,54,104,17,10,-4.2,2012,3069
"21","prevc peter",1.16,-9.8,129.5,88.8,77.1,18.5,18.5,19,19,18.5,56,123.3,11,10,0,2012,3069
"22","prevc peter",0.01,-0.1,118,88.7,56.4,18,17.5,17.5,17.5,17,52.5,104.6,16,10,-4.2,2012,3069
"23","freitag richard",0.47,-4,128.5,88.1,75.3,17.5,18.5,18,18.5,18,54.5,125.8,7,10,0,2012,3069
"24","freitag richard",-0.46,3.9,114,87.5,49.2,18,17,17.5,17.5,17.5,52.5,101.4,20,10,-4.2,2012,3069
"25","velta rune",-0.19,1.6,115.5,87.7,51.9,17,17,17,17,17,51,108.7,26,9,4.2,2012,3069
"26","velta rune",0.41,-3.5,123.5,87.7,66.3,18,18,17.5,18,17.5,53.5,116.3,3,9,0,2012,3069
"27","janda jakub",0.68,-5.8,125.5,88.2,69.9,18,18.5,18.5,18.5,18.5,55.5,119.6,14,10,0,2012,3069
"28","janda jakub",0.91,-7.7,121.5,87.2,62.7,17,18,18,18,18,54,104.8,15,10,-4.2,2012,3069
"29","vassiliev dimitry",1.18,-10,133,88.3,83.4,16,16.5,16,16,16,48,121.4,13,10,0,2012,3069
"30","vassiliev dimitry",0.86,-7.3,120,87.2,60,17,17.5,17.5,17.5,17.5,52.5,101,21,10,-4.2,2012,3069
"31","ammann simon",-0.01,0.1,119.5,88.9,59.1,17,17.5,17.5,18,17.5,52.5,111.7,21,10,0,2012,3069
"32","ammann simon",0.16,-1.4,120.5,88.3,60.9,18.5,18,18,18,17.5,54,109.3,11,10,-4.2,2012,3069
"33","zauner david",0.1,-0.8,119.5,88.5,59.1,17,17.5,17,17,17,51,113.5,18,9,4.2,2012,3069
"34","zauner david",-0.35,3,116.5,88.7,53.7,18,17.5,17,17.5,17.5,52.5,105,13,10,-4.2,2012,3069
"35","hocke stephan",0.65,-5.5,122.5,88.2,64.5,18,18,18,18,18,54,113,20,10,0,2012,3069
"36","hocke stephan",0.19,-1.6,118.5,88.4,57.3,18.5,17.5,18,18,17.5,53.5,105,13,10,-4.2,2012,3069
"37","hayboeck michael",0.19,-1.6,116.5,88.3,53.7,17.5,17,17.5,17,17.5,52,104.1,29,10,0,2012,3069
"38","hayboeck michael",0.74,-6.3,121.5,88,62.7,17.5,17.5,17.5,17.5,17.5,52.5,108.9,12,9,0,2012,3069
"39","kornilov denis",1.13,-9.6,128,88.3,74.4,16.5,16.5,16,15.5,16,48.5,113.3,19,10,0,2012,3069
"40","kornilov denis",-0.49,4.1,114,88.2,49.2,17,17,16.5,17,16.5,50.5,99.6,22,10,-4.2,2012,3069
"41","freund severin",0.14,-1.2,118.5,88.3,57.3,15.5,17,16.5,15.5,15.5,47.5,107.8,27,9,4.2,2012,3069
"42","freund severin",0.26,-2.2,116.5,88,53.7,17.5,17.5,17.5,17.5,17.5,52.5,104,17,9,0,2012,3069
"43","damjan jernej",0.46,-3.9,122.5,87.8,64.5,18,17.5,18,18.5,18,54,114.6,17,10,0,2012,3069
"44","damjan jernej",-0.23,1.9,113.5,88.3,48.3,18,17,17,17,17,51,97,23,10,-4.2,2012,3069
"45","koch martin",-0.08,0.7,113.5,88.5,48.3,17.5,17,17,17.5,17,51.5,100.5,30,10,0,2012,3069
"46","koch martin",0.89,-7.5,122,87.4,63.6,18,17.5,18,18,18,54,110.1,10,9,0,2012,3069
"47","loitzl wolfgang",-0.24,2,115,88.8,51,17,17,17.5,17.5,17.5,52,105,28,10,0,2012,3069
"48","loitzl wolfgang",-0.13,1.1,115.5,88.1,51.9,17,17,17,17,17.5,51,104,17,9,0,2012,3069
"49","watase yuta",0.77,-6.5,124,88,67.2,17.5,18,18,18,18,54,114.7,16,10,0,2012,3069
"50","watase yuta",0.25,-2.1,113.5,87.7,48.3,17.5,17.5,17.5,17,17,52,94,25,10,-4.2,2012,3069
"51","gangnes kenneth",1.26,-10.7,124.5,88.3,68.1,18,18,18.5,18,18,54,111.4,22,10,0,2012,3069
"52","gangnes kenneth",-0.51,4.3,111.5,88.4,44.7,16.5,17,16.5,16.5,17,50,94.8,24,10,-4.2,2012,3069
"53","ito daiki",0.48,-4.1,129.5,88.2,77.1,17.5,18.5,18,18.5,18,54.5,127.5,6,10,0,2012,3069
"54","ito daiki",-1.79,15.1,91.5,87.6,8.7,16,15.5,15.5,15.5,15.5,46.5,66.1,30,10,-4.2,2012,3069
"55","kranjec robert",0.22,-1.9,117,87.8,54.6,17.5,17.5,17.5,17.5,17.5,52.5,109.4,24,9,4.2,2012,3069
"56","kranjec robert",-0.64,5.4,105,87.9,33,15,15,15,15,15,45,83.4,27,9,0,2012,3069
"57","koivuranta anssi",0.48,-4.1,123,88.3,65.4,17,16.5,16.5,16.5,17.5,50,111.3,23,10,0,2012,3069
"58","koivuranta anssi",-0.5,4.2,102,88,27.6,16.5,16.5,16,16.5,16,49,80.8,28,9,0,2012,3069
"59","kot maciej",0.16,-1.4,118.5,88.3,57.3,17.5,17.5,18,18,17.5,53,108.9,25,10,0,2012,3069
"60","kot maciej",-0.32,2.7,101,87.9,25.8,16,16.5,16,16,16,48,76.5,29,9,0,2012,3069
"61","happonen janne",0.75,-6.3,122.5,88.8,64.5,17.5,18,18,18,18,54,112.2,31,10,0,2012,3069
"62","ito kenshiro",0.2,-1.7,117.5,88,55.5,17,17.5,17.5,17.5,17.5,52.5,110.5,32,9,4.2,2012,3069
"63","boyd-clowes mackenzie",0.67,-5.7,121,88.6,61.8,17,18,18,17.5,18,53.5,109.6,33,10,0,2012,3069
"64","sklett vegard haukoe",0.25,-2.1,119.5,87.9,59.1,17,17.5,17.5,17.5,18,52.5,109.5,34,10,0,2012,3069
