"","codex","place","gender","hill_size.x","team","season","X","hill_size.y","k.point","meter.value","gate.factor","wind.factor","qual","type","date"
"203",3001,"Kranj (SLO)","Men",109,0,2012,765,109,NA,NA,NA,NA,0,1,2011-07-02
"204",3002,"Kranj (SLO)","Men",109,0,2012,766,109,NA,NA,NA,NA,0,1,2011-07-03
"205",3003,"Stams (AUT)","Men",115,0,2012,767,115,NA,NA,NA,NA,0,1,2011-07-09
"206",3004,"Stams (AUT)","Men",115,0,2012,768,115,NA,NA,NA,NA,0,1,2011-07-10
"136",3006,"Wisla (POL)","Men",134,0,2012,0,134,120,1.8,7.24,8.82,1,2,2011-07-16
"1",3005,"Wisla (POL)","Men",134,0,2012,0,134,120,1.8,7.24,8.82,0,2,2011-07-17
"137",3010,"Szczyrk (POL)","Men",106,0,2012,1,106,95,2,6.36,7,1,2,2011-07-19
"3",3011,"Szczyrk (POL)","Women",106,0,2012,2,106,95,2,6.36,7,0,2,2011-07-19
"207",3011,"Szczyrk (POL)","Women",106,0,2012,770,106,95,2,6.36,7,0,1,2011-07-19
"2",3009,"Szczyrk (POL)","Men",106,0,2012,1,106,95,2,6.36,7,0,2,2011-07-20
"208",3009,"Szczyrk (POL)","Men",106,0,2012,769,106,95,2,6.36,7,0,1,2011-07-20
"138",3015,"Zakopane (POL)","Men",134,0,2012,2,134,120,1.8,7.24,8.82,1,2,2011-07-21
"4",3012,"Zakopane (POL)","Men",134,1,2012,3,134,120,1.8,7.24,8.82,0,2,2011-07-22
"209",3012,"Zakopane (POL)","Men",134,1,2012,771,134,120,1.8,7.24,8.82,0,1,2011-07-22
"210",3014,"Zakopane (POL)","Women",94,0,2012,773,94,NA,NA,NA,NA,0,1,2011-07-22
"5",3013,"Zakopane (POL)","Men",134,0,2012,4,134,120,1.8,7.24,8.82,0,2,2011-07-23
"211",3013,"Zakopane (POL)","Men",134,0,2012,772,134,120,1.8,7.24,8.82,0,1,2011-07-23
"212",3022,"Courchevel (FRA)","Men",132,0,2012,774,132,NA,NA,NA,NA,0,1,2011-07-30
"213",3023,"Courchevel (FRA)","Men",132,0,2012,775,132,NA,NA,NA,NA,0,1,2011-07-31
"139",3026,"Hinterzarten (GER)","Men",108,0,2012,3,108,95,2,6.48,7.2,1,2,2011-08-05
"6",3024,"Hinterzarten (GER)","Men",108,1,2012,5,108,95,2,6.48,7.2,0,2,2011-08-06
"7",3025,"Hinterzarten (GER)","Men",108,0,2012,6,108,95,2,6.48,7.2,0,2,2011-08-07
"140",3030,"Courchevel (FRA)","Men",132,0,2012,4,132,120,1.8,8.82,10.44,1,2,2011-08-11
"8",3031,"Courchevel (FRA)","Men",132,0,2012,7,132,120,1.8,8.82,10.44,0,2,2011-08-12
"141",3035,"Einsiedeln (SUI)","Men",117,0,2012,5,117,105,1.8,6.32,7.29,1,2,2011-08-13
"214",3032,"Bischofsgruen (GER)","Women",74,0,2012,776,74,NA,NA,NA,NA,0,1,2011-08-13
