codex,place,gender,hill_size_x,team,season,hill_size_y,k-point,meter value,gate factor,wind factor,type,date,id
3001,Kranj (SLO),Men,109.0,0,2012,109,,,,,1,2011-07-02,2012JP3001RL
3002,Kranj (SLO),Men,109.0,0,2012,109,,,,,1,2011-07-03,2012JP3002RL
3003,Stams (AUT),Men,115.0,0,2012,115,,,,,1,2011-07-09,2012JP3003RL
3004,Stams (AUT),Men,115.0,0,2012,115,,,,,1,2011-07-10,2012JP3004RL
3006,Wisla (POL),Men,134.0,0,2012,134,120.0,1.8,7.24,8.82,2,2011-07-16,2012JP3006RLQ
3005,Wisla (POL),Men,134.0,0,2012,134,120.0,1.8,7.24,8.82,2,2011-07-17,2012JP3005RL
3010,Szczyrk (POL),Men,106.0,0,2012,106,95.0,2.0,6.36,7.0,2,2011-07-19,2012JP3010RLQ
3011,Szczyrk (POL),Women,106.0,0,2012,106,95.0,2.0,6.36,7.0,2,2011-07-19,2012JP3011RL
3011,Szczyrk (POL),Women,106.0,0,2012,106,95.0,2.0,6.36,7.0,1,2011-07-19,2012JP3011RL
3009,Szczyrk (POL),Men,106.0,0,2012,106,95.0,2.0,6.36,7.0,2,2011-07-20,2012JP3009RL
3009,Szczyrk (POL),Men,106.0,0,2012,106,95.0,2.0,6.36,7.0,1,2011-07-20,2012JP3009RL
3015,Zakopane (POL),Men,134.0,0,2012,134,120.0,1.8,7.24,8.82,2,2011-07-21,2012JP3015RLQ
3012,Zakopane (POL),Men,134.0,1,2012,134,120.0,1.8,7.24,8.82,2,2011-07-22,2012JP3012RL
3012,Zakopane (POL),Men,134.0,1,2012,134,120.0,1.8,7.24,8.82,1,2011-07-22,2012JP3012RL
3014,Zakopane (POL),Women,94.0,0,2012,94,,,,,1,2011-07-22,2012JP3014RL
3013,Zakopane (POL),Men,134.0,0,2012,134,120.0,1.8,7.24,8.82,2,2011-07-23,2012JP3013RL
3013,Zakopane (POL),Men,134.0,0,2012,134,120.0,1.8,7.24,8.82,1,2011-07-23,2012JP3013RL
3022,Courchevel (FRA),Men,132.0,0,2012,132,,,,,1,2011-07-30,2012JP3022RL
3023,Courchevel (FRA),Men,132.0,0,2012,132,,,,,1,2011-07-31,2012JP3023RL
3026,Hinterzarten (GER),Men,108.0,0,2012,108,95.0,2.0,6.48,7.2,2,2011-08-05,2012JP3026RLQ
3024,Hinterzarten (GER),Men,108.0,1,2012,108,95.0,2.0,6.48,7.2,2,2011-08-06,2012JP3024RL
3025,Hinterzarten (GER),Men,108.0,0,2012,108,95.0,2.0,6.48,7.2,2,2011-08-07,2012JP3025RL
3030,Courchevel (FRA),Men,132.0,0,2012,132,120.0,1.8,8.82,10.44,2,2011-08-11,2012JP3030RLQ
