,name,codex
1,kofler andreas,4141
3,schlierenzauer gregor,5040
5,takeuchi taku,4367
7,bardal anders,2934
9,koudelka roman,4801
11,morgenstern thomas,4143
13,mechler maximilian,2931
15,neumayer michael,2927
17,stoch kamil,4321
19,hlava lukas,3090
21,prevc peter,5658
23,freitag richard,5564
25,velta rune,5987
27,janda jakub,1984
29,vassiliev dimitry,2813
31,ammann simon,2067
33,zauner david,6296
35,hocke stephan,4015
37,hayboeck michael,5288
39,kornilov denis,4880
41,freund severin,4197
43,damjan jernej,4025
45,koch martin,2815
47,loitzl wolfgang,2088
49,watase yuta,2852
51,gangnes kenneth,5181
53,ito daiki,4259
55,kranjec robert,2918
57,koivuranta anssi,5119
59,kot maciej,5298
61,happonen janne,3012
63,ito kenshiro,4963
65,boyd-clowes mackenzie,4678
67,sklett vegard haukoe,5904
69,hautamaeki matti,1991
71,kasai noriaki,2022
73,matura jan,2947
75,colloredo sebastian,4186
77,romoeren bjoern einar,2917
79,evensen johan remen,5749
81,fettner manuel,2928
83,kobayashi junshiro,5451
85,morassi andrea,4724
87,mueller lukas,5750
88,unterberger david,1945
89,roensen atle pedersen,5067
90,tepes jurij,4646
92,kalinitschenko anton,2874
94,meznar mitja,4939
95,hula stefan,4322
97,sinkovec jure,3104
99,wank andreas,4226
101,kubacki dawid,5142
103,grigoli marco,1922
105,zyla piotr,4325
107,bresadola davide,2708
109,ipatov dimitry,4613
111,karpenko nikolay,1906
113,nurmsalu kaarel,6145
115,kraft stefan,5497
117,innauer mario,5038
118,levkin yevgeniy,5607
120,poppinger manuel,5039
122,muotka olli,5185
124,chedal emmanuel,2819
126,dezman nejc,5676
128,byrt tomasz,5493
129,sardyko alexander,5764
131,nordin carl,5115
132,eisenbichler markus,5253
134,sedlak borek,2999
136,balkaasen fredrik,5123
137,pchelintsev alexey,5114
139,descombes sevoie vincent,2987
141,iraschko daniela,4130
143,hendrickson sarah,5999
145,pozun katja,5000
146,graessler ulrike,4767
148,sagen anette,4890
150,vogt carina,5010
152,van lindsey,4637
154,rogelj spela,5855
155,wuerth svenja,5251
156,vtic maja,4929
158,faisst melanie,1953
159,hughes abby,2682
160,lundby maren,5930
162,taktaeva irina,6043
163,jahr line,4893
164,kasai yoshiko,4537
165,clair julia,5917
167,watase ayumi,4538
168,ito yuki,5754
170,lemare lea,6013
171,seifriedsberger jacqueline,1909
173,runggaldier elena,1921
175,mikova lucie,5707
176,johnson alissa,4883
177,jerome jessica,4632
179,althaus katharina,6113
181,haefele anna,1911
182,windmueller sabrina,5387
184,keil katharina,6186
185,dolezelova michaela,5483
187,demetz lisa,1912
188,kykkaenen julia,5793
190,mattel coline,5498
192,bogataj ursa,6197
193,d agostina roberta,1917
194,steen hansen synne,5742
195,insam evelyn,5388
197,tepes anja,1916
198,roider cornelia,5716
199,pustkova vladena,1914
201,pograjc manja,5005
202,hagemoen jenny synnove,6352
203,vuik wendy,5015
204,lussi nina,5332
205,enger gyda,5428
206,veshchikova anastasia,6265
207,thomae lara,5473
208,gladysheva anastasiya,6343
210,schoitsch sonja,6569
211,hilde tom,5064
213,sklett vegard-haukoe,5904
215,cikl martin,4643
217,schmitt martin,1998
219,mabboux alexandre,5320
221,hajek antonin,4593
223,tochimoto shohei,2530
225,judez dejan,5479
226,zmoray tomas,1967
227,mietus krzysztof,5302
229,zografski vladimir,5168
230,deschwanden gregor,5435
232,egloff pascal,5590
234,mayer nicolas,5188
236,dellasega diego,5324
238,ziobro jan,5429
240,brandt johan martin,5988
241,kozisek cestmir,5063
243,trofimov roman-sergeevich,5760
