"","codex","place","month","day","year","gender","hill_size.x","team","season","X","Unnamed..0","hill_size.y","k.point","meter.value","gate.factor","wind.factor"
"1",3068,"Innsbruck (AUT)","January",3,2012,"Men",130,0,2012,0,0,130,120,1.8,7.02,8.46
"2",3088,"Harrachov (CZE)","December",8,2011,"Men",142,0,2012,1,1,142,125,1.8,5.04,9.54
"3",3091,"Harrachov (CZE)","December",11,2011,"Men",142,0,2012,2,2,142,125,1.8,5.04,9.54
"4",3102,"Ruka (FIN)","November",27,2011,"Men",142,0,2012,3,3,142,120,1.8,9.54,11.7
"5",3103,"Lahti (FIN)","March",2,2012,"Men",97,0,2012,4,4,97,90,2,6.4,6.8
"6",3110,"Oberstdorf (GER)","December",29,2011,"Men",137,0,2012,5,5,137,120,1.8,7.4,9.09
"7",3112,"Garmisch-Partenkirchen (GER)","December",31,2011,"Men",140,0,2012,6,6,140,125,1.8,7.56,9.36
"8",3122,"Willingen (GER)","February",10,2012,"Men",145,0,2012,7,7,145,130,1.8,7.83,11.7
"9",3125,"Klingenthal (GER)","February",14,2012,"Men",140,0,2012,8,8,140,125,1.8,7.56,10.8
"10",3127,"Oberstdorf (GER)","February",17,2012,"Men",213,0,2012,9,9,213,185,1.2,7.67,12
"11",3136,"Predazzo (ITA)","February",3,2012,"Men",134,0,2012,10,10,134,120,1.8,5.58,8.82
"12",3138,"Predazzo (ITA)","February",5,2012,"Men",134,0,2012,11,11,134,120,1.8,5.58,8.82
"13",3144,"Sapporo (JPN)","January",27,2012,"Men",134,0,2012,12,12,134,120,1.8,9,11.7
"14",3146,"Sapporo (JPN)","January",29,2012,"Men",134,0,2012,13,13,134,120,1.8,9,11.7
"15",3153,"Lillehammer (NOR)","December",2,2011,"Men",100,0,2012,14,14,100,90,2,6,6.4
"16",3156,"Lillehammer (NOR)","December",4,2011,"Men",138,0,2012,15,15,138,123,1.8,7.45,9.18
"17",3167,"Trondheim (NOR)","March",8,2012,"Men",131,0,2012,16,16,140,123,1.8,7.56,9.36
"18",3168,"Trondheim (NOR)","March",8,2012,"Men",131,0,2012,17,17,140,123,1.8,7.56,9.36
"19",3170,"Oslo (NOR)","March",10,2012,"Men",134,0,2012,18,18,134,120,1.8,7.24,10.8
"20",3172,"Zakopane (POL)","January",19,2012,"Men",134,0,2012,19,19,134,120,1.8,7.24,8.82
