"","name","wind","wind_comp","points","speed","dist","dist_points","note_1","note_2","note_3","note_4","note_5","note_points","gate","gate_points","year","codex","loc"
"1","stoch kamil",-0.03,0.3,127.1,87.8,126,70.8,18.5,18.5,19,18.5,19,56,10,0,2012,3068,NA
"2","mechler maximilian",0.2,-1.7,125.5,88.6,126.5,71.7,18.5,18.5,18,18.5,18.5,55.5,10,0,2012,3068,NA
"3","freund severin",0.02,-0.2,122.9,88.5,124.5,68.1,18.5,18,18.5,18,18.5,55,10,0,2012,3068,NA
"4","schlierenzauer gregor",0.15,-1.3,121.9,87.5,126.5,71.7,17.5,17,17,17,18.5,51.5,10,0,2012,3068,NA
"5","bardal anders",-0.08,0.7,121.9,88.9,124,67.2,18,18.5,18,18,17.5,54,10,0,2012,3068,NA
"6","koudelka roman",-0.11,0.9,121.2,88.4,123.5,66.3,18,18,18.5,18,18,54,10,0,2012,3068,NA
"7","velta rune",-0.06,0.5,119,88.3,122.5,64.5,18,18,18,18,18.5,54,10,0,2012,3068,NA
"8","kranjec robert",-0.12,1,117.7,88.2,121.5,62.7,18.5,18,18,18,18,54,10,0,2012,3068,NA
"9","morgenstern thomas",-0.22,1.9,116.7,88.1,121,61.8,18,18,17.5,17.5,17.5,53,10,0,2012,3068,NA
"10","zauner david",0.03,-0.3,112.4,88.9,121.5,62.7,16.5,16.5,16.5,17,17.5,50,10,0,2012,3068,NA
"11","neumayer michael",0.17,-1.4,111.8,88.6,121.5,62.7,17,17,16.5,16.5,17.5,50.5,10,0,2012,3068,NA
"12","prevc peter",0.04,-0.3,111.7,88.8,120,60,17.5,17.5,16.5,17,18,52,10,0,2012,3068,NA
"13","ammann simon",-0.3,2.5,111.5,88.3,117.5,55.5,18,17.5,17.5,18,18,53.5,10,0,2012,3068,NA
"14","kasai noriaki",-0.25,2.1,111,88.4,118,56.4,18,17,17.5,17.5,17.5,52.5,10,0,2012,3068,NA
"15","damjan jernej",0.1,-0.8,110.3,87.9,119.5,59.1,18,17.5,17,16.5,17.5,52,10,0,2012,3068,NA
"16","kot maciej",0.06,-0.5,110.2,88.2,119,58.2,17.5,17.5,17,18,17.5,52.5,10,0,2012,3068,NA
"17","koivuranta anssi",0.02,-0.2,109.6,88.2,118.5,57.3,17,17.5,17.5,17.5,17.5,52.5,10,0,2012,3068,NA
"18","koch martin",-0.35,3,109.1,88.6,117,54.6,18,17.5,17,17,17,51.5,10,0,2012,3068,NA
"19","loitzl wolfgang",-0.22,1.9,109,88.7,117,54.6,17.5,17.5,17.5,17.5,17.5,52.5,10,0,2012,3068,NA
